group,n,age_recorded,age_mean,age_sd,age_min,age_max,sex_recorded,female,male,female_pct_of_recorded
high,145,103,36.58252427184466,12.424299618753645,15.0,69.0,103,81,22,78.64077669902913
low,300,99,35.17171717171717,13.486229109453143,14.0,68.0,99,52,47,52.525252525252526
normal,785,293,34.689419795221845,12.530338142974355,15.0,69.0,180,123,57,68.33333333333333
all,1230,495,35.17979797979798,12.700935441640056,14.0,69.0,382,256,126,67.01570680628272
reference set (145),145,103,36.58252427184466,12.424299618753645,15.0,69.0,103,81,22,78.64077669902913
