"distance to the nearest boundary, mm",n,share of images,"MAE, mm",class agreement,disagreements
< 0.5,68,0.4689655172413793,0.5192681915827215,0.6029411764705882,27
0.5–1.0,27,0.18620689655172415,0.6275198263005142,0.7777777777777778,6
1.0–2.0,41,0.2827586206896552,0.4809499708098697,0.9512195121951219,2
> 2.0,9,0.06206896551724138,0.39663502502752135,1.0,0
all,145,1.0,0.5209788714909745,0.7586206896551724,35
