subset,n,mae,rmse,r,r_p,icc2_1,icc2_1_ci_low,icc2_1_ci_high,icc3_1,ba_bias,ba_bias_ci_low,ba_bias_ci_high,ba_sd,ba_loa_low,ba_loa_high,ba_prop_slope,ba_prop_p,threshold_agreement,threshold_kappa_linear
holdout: all,58,0.542853184448647,0.7420393840841094,0.8661703232886268,1.6441775326070425e-18,0.8567562655161294,0.767571668778998,0.913093238365398,0.8620936549398475,0.1813335058372638,-0.009512783437775257,0.3721797951123028,0.7258262710455798,-1.2412859854120726,1.6039529970866002,0.10408374388636099,0.15043742083209583,0.7586206896551724,0.7314814814814815
holdout: without dash-zero rows,45,0.552036176544497,0.6968114139821258,0.8712202353146569,7.111288792940273e-15,0.8609675085254147,0.761593055382474,0.920938662270229,0.8621930447196136,0.12507457231253827,-0.08319786791792369,0.33334701254300025,0.6932402904074857,-1.2336763968861337,1.48382554151121,0.15420721974981286,0.05919773850387027,0.7555555555555555,0.7501261988894498
holdout: only 2698x1799 (+/-2 px) frames,48,0.5001312455939609,0.6528687077988915,0.892415836441592,1.6479445970594576e-17,0.8868925783323306,0.8073989592708312,0.9348569913522989,0.8864046653202169,0.08275787770371905,-0.10727615597693153,0.27279191138436965,0.6544553818064752,-1.1999746706369725,1.3654904260444105,0.12284952288570343,0.08617477637445457,0.7708333333333334,0.7333333333333334
holdout: frames outside 2698x1799,10,0.7479184909511399,1.071293590709283,0.783676658581236,0.007310810642341228,0.6983277845638255,0.14105634296754976,0.916737412985337,0.7687367007613692,0.6544965208782785,0.014971064771573062,1.294021976984984,0.893994942598806,-1.0977335666153811,2.406726608371938,-0.21973956878766157,0.39337234373435315,0.7,0.7058823529411764
holdout: without ambiguous 100-999 cells,58,0.542853184448647,0.7420393840841094,0.8661703232886268,1.6441775326070425e-18,0.8567562655161294,0.767571668778998,0.913093238365398,0.8620936549398475,0.1813335058372638,-0.009512783437775257,0.3721797951123028,0.7258262710455798,-1.2412859854120726,1.6039529970866002,0.10408374388636099,0.15043742083209583,0.7586206896551724,0.7314814814814815
dev + holdout (scale still from dev),145,0.5309817499419063,0.7348990412574833,0.8821974694118561,1.2682761553118675e-48,0.8761502332946085,0.8278469659812069,0.9108797105868033,0.8816775156377374,0.17570951971413812,0.058171750648308776,0.2932472887799675,0.7160578858158934,-1.2277639364850128,1.579182975913289,-0.036486756682999534,0.38450838569952916,0.7655172413793103,0.7342158859470469
