subset,n,mae,rmse,r,r_p,icc2_1,icc2_1_ci_low,icc2_1_ci_high,icc3_1,ba_bias,ba_bias_ci_low,ba_bias_ci_high,ba_sd,ba_loa_low,ba_loa_high,ba_prop_slope,ba_prop_p,threshold_agreement,threshold_kappa_linear
holdout: all,58,0.5274914107064577,0.726492656019859,0.8596683924590414,5.669152090179638e-18,0.856536469080358,0.7695651922752933,0.912397856995473,0.8580918289856707,0.12511286325634305,-0.06469808335466859,0.3149238098673547,0.7218886576503181,-1.2897889057382803,1.5400146322509662,0.06515816780712373,0.37813319505603327,0.7931034482758621,0.7332457293035479
holdout: without dash-zero rows,45,0.484519216922268,0.6166166239596841,0.8783265637321349,2.259421030746054e-15,0.8777782396454364,0.7890104580803835,0.930777302233004,0.8776197906340403,0.08888238190179829,-0.09650653570168838,0.27427129950528495,0.6170718839975128,-1.1205785107333268,1.2983432745369234,0.04272302064810427,0.584753976584552,0.8,0.7932618683001531
holdout: only 2698x1799 (+/-2 px) frames,48,0.47561017473683914,0.6043154121500296,0.9071200905988619,6.599407228025017e-19,0.902363928537935,0.8327143134241152,0.9439754663281826,0.9016716340431684,0.0692550934885383,-0.10690840887564558,0.2454185958527222,0.6066868653320434,-1.1198511625622667,1.2583613495393433,0.1150961267606108,0.08264267087194509,0.8125,0.755849440488301
holdout: frames outside 2698x1799,10,0.776521343360626,1.1437853803562488,0.6198327271650488,0.05594051752292217,0.5752584386316854,-0.0024007438801309593,0.8721642547312566,0.5802412946208946,0.39323015814180595,-0.4166709141507543,1.2031312304343662,1.1321636312067158,-1.825810559023357,2.6122708753069688,-0.44507859793049986,0.21274137188636835,0.7,0.6226415094339623
holdout: without ambiguous 100-999 cells,58,0.5274914107064577,0.726492656019859,0.8596683924590414,5.669152090179638e-18,0.856536469080358,0.7695651922752933,0.912397856995473,0.8580918289856707,0.12511286325634305,-0.06469808335466859,0.3149238098673547,0.7218886576503181,-1.2897889057382803,1.5400146322509662,0.06515816780712373,0.37813319505603327,0.7931034482758621,0.7332457293035479
dev + holdout (scale still from dev),145,0.5459341304989991,0.7606784009097587,0.8713043309230603,4.7265604130297435e-46,0.866728400282609,0.817726331930529,0.9029476087429656,0.8707052399635364,0.15389672521952255,0.031192932225247466,0.2766005182137976,0.7475300857876775,-1.3112622429243255,1.6190556933633704,-0.03963933970282227,0.36746530177014214,0.7862068965517242,0.7424511545293073
