tooth_index,n,mae,bias,r
1,145,0.7394795603831343,0.15931350775713018,0.8340348238731319
2,145,0.7766617688757393,0.2255202529695375,0.8386504768232032
3,145,0.5924371993050382,0.17581009492102243,0.891531129997293
4,145,0.5780292937658087,-0.0679321212094735,0.8421508474888361
5,145,0.826013244642802,0.12640408339808606,0.7651198319578566
6,145,0.7671995350414507,0.2833024707498539,0.8037235422617104
