uid,image,group,gingiva_mask_iou,gingiva_boundary_iou,gingiva_n_columns_gt,gingiva_n_columns_pred,gingiva_n_columns_both,gingiva_columns_missed_frac,gingiva_columns_spurious_frac,gingiva_top_edge_mae_px,gingiva_top_edge_median_px,gingiva_top_edge_bias_px,gingiva_bottom_edge_mae_px,gingiva_bottom_edge_median_px,gingiva_bottom_edge_bias_px,gingiva_thickness_mae_px,lip_mask_iou,lip_boundary_iou
high/IMG_6876-_jpg,IMG_6876-_jpg,high,0.8601262544965916,0.40640887382529656,924,926,924,0.0,0.0021598272138228943,3.303030303030303,2.0,1.3658008658008658,7.562770562770563,7.0,2.2294372294372296,5.924242424242424,0.8494944631680308,0.4316775157400491
high/IMG_6900_jpg,IMG_6900_jpg,high,0.8247095134350036,0.48353379152348225,1021,980,966,0.05386875612144956,0.014285714285714285,2.4130434782608696,2.0,0.5227743271221532,6.6521739130434785,5.0,2.111801242236025,7.346790890269151,0.8745373502606758,0.4300692995337095
high/IMG_6905_jpg,IMG_6905_jpg,high,0.7185264856144125,0.3864451164385697,938,863,863,0.07995735607675906,0.0,4.414831981460023,5.0,-4.0625724217844725,7.235225955967555,6.0,2.4797219003476245,10.069524913093858,0.8797925493817039,0.36757738665095613
high/IMG_7307_jpg,IMG_7307_jpg,high,0.770771448540975,0.3871375820568928,877,886,861,0.018244013683010263,0.028216704288939052,4.168408826945412,4.0,-3.5389082462253194,7.384436701509872,4.0,4.399535423925668,9.05574912891986,0.902309651691932,0.4499403887209915
high/IMG_7311_jpg,IMG_7311_jpg,high,0.785118438655859,0.3889337140019861,916,890,858,0.06331877729257641,0.035955056179775284,3.6456876456876457,3.0,-3.5874125874125875,7.847319347319347,7.0,3.719114219114219,9.558275058275058,0.8971927948765506,0.46739566038816055
high/IMG_7314_jpg,IMG_7314_jpg,high,0.8381779334674915,0.3781172712283594,1034,1020,1020,0.013539651837524178,0.0,6.981372549019608,6.0,-6.306862745098039,5.6872549019607845,4.0,2.161764705882353,9.87843137254902,0.7852679536123316,0.2687695731003791
high/IMG_8552_jpg,IMG_8552_jpg,high,0.8378146915295867,0.46205444849845634,973,946,942,0.03186022610483042,0.004228329809725159,3.129511677282378,3.0,-2.129511677282378,7.1963906581740975,6.0,-0.638004246284501,8.107218683651805,0.9008698671442408,0.435380002607222
high/IMG_8581_jpg,IMG_8581_jpg,high,0.7879104368220463,0.38949717974240644,945,950,934,0.01164021164021164,0.016842105263157894,2.259100642398287,2.0,-0.6980728051391863,9.599571734475374,9.0,3.336188436830835,9.8779443254818,0.8094963183535393,0.3183405758843358
high/IMG_8594_jpg,IMG_8594_jpg,high,0.8798813875770746,0.5041465893073721,924,901,901,0.024891774891774892,0.0,2.8890122086570478,3.0,-1.346281908990011,5.4639289678135405,4.0,-0.3029966703662597,6.337402885682575,0.8019161964702699,0.31413751241584814
high/gummy30_JPG,gummy30_JPG,high,0.734295662266067,0.3091690232760496,511,520,499,0.023483365949119372,0.04038461538461539,4.192384769539078,4.0,0.685370741482966,9.949899799599198,9.0,-0.935871743486974,8.899799599198397,0.8262295789541835,0.3397278796585819
high/IMG_2686_jpg,IMG_2686_jpg,high,0.8215234289334535,0.3216466163476648,976,973,961,0.015368852459016393,0.012332990750256937,5.007284079084287,4.0,-3.3631633714880333,9.106139438085329,8.0,-4.469302809573361,9.432882414151925,0.774149835452023,0.22377490123560562
high/IMG_2773_jpg,IMG_2773_jpg,high,0.8691805541413524,0.4233629415410039,984,981,978,0.006097560975609756,0.0030581039755351682,2.976482617586912,2.0,-2.436605316973415,8.67280163599182,7.0,-0.9488752556237219,9.455010224948875,0.9082048795223824,0.4961876832844575
high/IMG_2918_jpg,IMG_2918_jpg,high,0.8071082656160223,0.41493328100470955,874,748,748,0.14416475972540047,0.0,3.177807486631016,3.0,-0.12433155080213903,7.818181818181818,5.0,3.141711229946524,8.13770053475936,0.8655747480187735,0.3550099030013712
high/IMG_3098_jpg,IMG_3098_jpg,high,0.8413350008114636,0.28732401134015667,1016,998,998,0.017716535433070866,0.0,8.62124248496994,9.0,8.114228456913828,7.286573146292585,5.0,0.6132264529058116,11.885771543086172,0.8757248400827714,0.34460950474327184
high/IMG_3160_jpg,IMG_3160_jpg,high,0.7237606638294565,0.34849517617449666,1043,1066,1043,0.0,0.021575984990619138,4.325023969319271,4.0,-1.1764141898370086,9.04602109300096,8.0,6.929050814956855,11.016299137104506,0.6109650617464258,0.1382246102618435
high/IMG_3552_jpg,IMG_3552_jpg,high,0.6979993101069334,0.36531140004310036,883,697,697,0.21064552661381652,0.0,4.39167862266858,4.0,1.0832137733142038,7.611190817790531,7.0,4.144906743185079,8.703012912482066,0.8653588644884842,0.472206129824271
high/IMG_3684-_jpg,IMG_3684-_jpg,high,0.7745000207891564,0.40385207064180667,993,799,799,0.19536757301107754,0.0,3.1539424280350437,3.0,1.9549436795994994,7.468085106382978,6.0,-2.214017521902378,9.242803504380475,0.717279624723433,0.23761480519991346
