uid,e_total,e_seg,e_meas,gingiva_mask_iou,gingiva_boundary_iou,gingiva_top_edge_bias_px,gingiva_bottom_edge_bias_px,gingiva_thickness_mae_px,gingiva_columns_missed_frac,gingiva_columns_spurious_frac
high/IMG_7307_jpg,-0.5566171363202748,0.4576797172182574,-1.0142968535385322,0.7713393325179102,0.3870846437850403,-3.5389082462253194,4.369337979094077,9.025551684088269,0.018244013683010263,0.028216704288939052
high/IMG_6921_jpg,0.12023508211516276,-0.07916622135667195,0.1994013034718347,0.8792596786369028,0.4441952844695028,-1.4264705882352942,1.1957013574660633,7.178733031674208,0.0684931506849315,0.0
high/IMG_2843_jpg,1.0832716074305422,0.11380144320021568,0.9694701642303265,0.893869692978012,0.3983490284896889,1.9205020920502092,1.7897489539748954,6.042887029288703,0.0031282586027111575,0.0
high/IMG_8575_jpg,-0.21671182505848385,0.09400988786104669,-0.31072171291953055,0.8665337987381218,0.3787450537026569,-3.8845750262329486,0.36306400839454356,6.9569779643231895,0.0010482180293501049,0.0
high/IMG_6842_jpg,0.40382629941456516,0.3166648854266869,0.08716141398787824,0.810672646989177,0.33033094858201656,-1.744842562432139,3.01628664495114,9.542888165038002,0.0,0.01812366737739872
high/IMG_7304_jpg,0.8308646059699258,-0.1682282203829253,0.9990928263528511,0.8735641766711131,0.34616653173817874,-1.7857142857142858,-4.198547215496368,9.115012106537531,0.04287369640787949,0.0
high/IMG_6573-_jpg,-0.09636424180530612,-0.18801977572209494,0.09165553391678882,0.7982321840488292,0.39406435488909713,4.030409356725146,-1.7426900584795322,7.873684210526315,0.04575892857142857,0.011560693641618497
high/IMG_2695_jpg,0.6029107460228866,0.16822822038292662,0.43468252563996,0.8887913547881995,0.5344519814352017,0.3208695652173913,-0.7895652173913044,6.070434782608696,0.0137221269296741,0.0
high/IMG_8568_jpg,0.09249350243238297,0.618486104348996,-0.525992601916613,0.8711592909629727,0.3737109700399276,-1.0352811466372658,4.533627342888644,8.226019845644984,0.0,0.02577873254564984
high/IMG_6460-_jpg,0.7504893125601171,0.395831106783358,0.3546582057767591,0.8107136141406543,0.4720984799537525,-1.8991981672394043,2.495990836197022,7.820160366552119,0.0011441647597254005,0.0
high/IMG_6706_jpg,0.5137175784636212,0.465101550470445,0.048616027993176214,0.7882318010339527,0.3353610416940681,-8.544226044226043,-0.7063882063882064,11.646191646191646,0.0,0.0024509803921568627
high/IMG_3079_jpg,0.664334851345628,-0.31171699659189445,0.9760518479375224,0.8645276802979303,0.44881768228684327,2.478409090909091,-1.321590909090909,6.918181818181818,0.0527448869752422,0.0
high/IMG_2665_jpg,0.3346376304758292,-0.11380144320021479,0.44843907367604396,0.8126764810702635,0.3079071251894997,5.849889624724062,-1.0044150110375276,10.62251655629139,0.010917030567685589,0.006578947368421052
high/IMG_6758_jpg,0.3152049732220261,0.27213388591355914,0.04307108730846698,0.8409854604200323,0.4841988336573174,0.39762611275964393,4.402571711177052,7.134520276953511,0.0058997050147492625,0.009794319294809012
high/IMG_2574_jpeg,0.7736991841920893,-0.158332442713343,0.9320316269054323,0.8615346208027961,0.42213569424202213,0.8537477148080439,-7.449725776965265,10.261425959780622,0.02408563782337199,0.009057971014492754
high/IMG_6768_jpg,-0.086451805583593,0.45520577280086183,-0.5416575783844548,0.8070383108054067,0.3602400682762988,-6.33585313174946,2.473002159827214,9.934125269978402,0.0,0.014893617021276596
high/IMG_3068_jpg,0.6808519552077517,-0.04947888834791936,0.730330843555671,0.8708594839609484,0.3887946584820828,2.2170087976539588,1.2394916911045943,6.103616813294233,0.0,0.03216650898770104
high/IMG_6849-_jpg,-0.45172941975118075,-0.047004943930524234,-0.4047244758206565,0.8835883010288621,0.5363260004870525,-1.6666666666666667,1.6541353383458646,5.774436090225564,0.016029593094944512,0.003745318352059925
high/IMG_3110_jpg,0.3648596165188236,-0.3710916626093983,0.7359512791282219,0.8872055802896496,0.4215557020435069,2.9964285714285714,2.8321428571428573,7.1761904761904765,0.06770255271920089,0.0
high/IMG_8584_jpg,-0.38906448880391675,0.5690072160010766,-0.9580717048049934,0.8626054537198575,0.3929317403291837,-1.9270298047276464,0.7975334018499486,8.422404933196301,0.0020512820512820513,0.0020512820512820513
high/111 (1)_jpg,0.35873419149517316,0.0395831106783362,0.31915108081683696,0.8156924773624332,0.36725854183481305,5.35673839184598,-0.6862967157417894,7.85277463193658,0.12660731948565776,0.0
high/IMG_2848_jpg,0.3134219242933429,-0.1311190541219871,0.44454097841533,0.7429838454228698,0.3451382113821138,-2.8143939393939394,-2.3106060606060606,6.960858585858586,0.11902113459399333,0.0
high/IMG_3098_jpg,0.5129117276840329,0.22265499756563845,0.2902567301183945,0.841286812085342,0.28725525525525525,8.114228456913828,0.6122244488977956,11.886773547094188,0.017716535433070866,0.0
high/IMG_6855-_jpg,-1.0319688184045628,0.41562266212252563,-1.4475914805270884,0.8701323275263961,0.38258575197889183,2.8360049321824907,5.595561035758323,7.70406905055487,0.12229437229437229,0.0012315270935960591
high/IMG_3105_jpg,0.25714470991517335,0.007421833252188037,0.24972287666298532,0.7397002211483332,0.4185150145415046,-2.66871921182266,1.1330049261083743,7.476600985221675,0.13247863247863248,0.0
high/IMG_6591-_jpg,-0.07215971389327525,-0.41562266212252563,0.3434629482292504,0.8393813899314093,0.3300841233809587,7.510506798516687,-1.023485784919654,11.364647713226205,0.004920049200492005,0.0
high/IMG_6933_jpg,0.4653110678335777,0.2770817747483507,0.18822929308522696,0.8727114210985178,0.40871726247371437,-5.408955223880597,-1.3303482587064677,8.162189054726369,0.02237354085603113,0.0
high/IMG_6519-_jpg,1.4474855323730482,1.0365827108889194,0.4109028214841288,0.8841321777355946,0.2926149817533499,-5.086741016109046,8.653035935563816,16.143742255266417,0.01705237515225335,0.0
high/IMG_6745_jpg,0.13021397046308358,0.23749866407001496,-0.10728469360693138,0.8361312775456062,0.41817271867875216,0.43783209351753455,4.439957492029755,9.12008501594049,0.0,0.019791666666666666
