set,model,masks_dir,n,n_gt_gingiva,n_both,n_missed,n_spurious,n_neither,gingiva_mask_iou_n,gingiva_mask_iou_mean,gingiva_mask_iou_median,gingiva_boundary_iou_n,gingiva_boundary_iou_mean,gingiva_boundary_iou_median,lip_mask_iou_n,lip_mask_iou_mean,lip_mask_iou_median,lip_boundary_iou_n,lip_boundary_iou_mean,lip_boundary_iou_median,gingiva_top_edge_mae_px_n,gingiva_top_edge_mae_px_mean,gingiva_top_edge_mae_px_median,gingiva_top_edge_mae_mm_mean,gingiva_top_edge_mae_mm_median,gingiva_top_edge_bias_px_n,gingiva_top_edge_bias_px_mean,gingiva_top_edge_bias_px_median,gingiva_top_edge_bias_mm_mean,gingiva_top_edge_bias_mm_median,gingiva_bottom_edge_mae_px_n,gingiva_bottom_edge_mae_px_mean,gingiva_bottom_edge_mae_px_median,gingiva_bottom_edge_mae_mm_mean,gingiva_bottom_edge_mae_mm_median,gingiva_bottom_edge_bias_px_n,gingiva_bottom_edge_bias_px_mean,gingiva_bottom_edge_bias_px_median,gingiva_bottom_edge_bias_mm_mean,gingiva_bottom_edge_bias_mm_median,gingiva_thickness_mae_px_n,gingiva_thickness_mae_px_mean,gingiva_thickness_mae_px_median,gingiva_thickness_mae_mm_mean,gingiva_thickness_mae_mm_median,gingiva_columns_missed_frac_mean,gingiva_columns_spurious_frac_mean,gingiva_n_columns_gt_median
"(a) OOF, 145 reference high","RF-DETR-Seg Large @624, seed 42, 5 fold models",outputs/05_predictions/oof_rfdetr,145,145,145,0,0,0,145,0.8210464058139225,0.8377883206047982,145,0.39516771649201154,0.38959925708979215,145,0.8364865438547483,0.8563420913290365,145,0.341623183108122,0.34460950474327184,145,4.669310992054159,4.048642533936651,0.27723878068507435,0.2403867982767484,145,0.27607559690237427,-0.12433155080213903,0.01639189636166144,-0.0073821443043152945,145,7.856662508109256,7.336273428886439,0.4664867124312297,0.43558878465321865,145,1.2613678637469121,0.8797071129707112,0.07489329563518497,0.05223231602585834,145,9.106932274660632,8.650118203309693,0.5407210622519999,0.5135978793334418,0.038954191690111696,0.008674514377759237,935.0
"(b) test high, final model","RF-DETR-Seg Large @624, seed 42",outputs/05_predictions/test_rfdetr,29,29,29,0,0,0,29,0.8204724493015976,0.8335632851644761,29,0.3683847455641659,0.36920690323831684,29,0.8341902323023646,0.8563719824849837,29,0.3412347700679908,0.32534951200211026,29,4.295725535840608,3.772727272727273,0.25505726899339803,0.22400442179330926,29,0.3553830597636721,0.21291866028708134,0.021100750481746575,0.012641974343439773,29,8.125429395135459,7.983731019522777,0.48244465658497465,0.47403136285774883,29,0.5945387530340893,0.6280241935483871,0.03530053989586214,0.03728872674284756,29,9.703094858506878,9.664915966386555,0.5761180165600028,0.5738511575914403,0.044918657759526685,0.0058280168957384835,941.0
"(b') test high, OOF masks","RF-DETR-Seg Large @624, seed 42, 5 fold models",outputs/05_predictions/oof_rfdetr,29,29,29,0,0,0,29,0.8320609763164026,0.8464979073705285,29,0.400516349565162,0.4174571205821206,29,0.8488156960520443,0.8570280202113,29,0.34062176329704313,0.3278288122770993,29,4.13637867460233,3.5912017167381975,0.24559610232643778,0.21322640253281624,29,-0.15983319997152004,0.5010615711252654,-0.009490042866817877,0.029750363439768286,29,7.526844795376835,7.441831683168317,0.44690389589108526,0.44185627074659595,29,0.8415432814225111,1.1957013574660633,0.049966351273735686,0.07099436875622327,29,8.974088481293697,8.61266094420601,0.5328335063883398,0.5113738670842295,0.033398043025640776,0.008875395600499606,941.0
(c) test all,"RF-DETR-Seg Large @624, seed 42",outputs/05_predictions/test_rfdetr,29,29,29,0,0,0,29,0.8204724493015976,0.8335632851644761,29,0.3683847455641659,0.36920690323831684,29,0.8341902323023646,0.8563719824849837,29,0.3412347700679908,0.32534951200211026,29,4.295725535840608,3.772727272727273,0.25505726899339803,0.22400442179330926,29,0.3553830597636721,0.21291866028708134,0.021100750481746575,0.012641974343439773,29,8.125429395135459,7.983731019522777,0.48244465658497465,0.47403136285774883,29,0.5945387530340893,0.6280241935483871,0.03530053989586214,0.03728872674284756,29,9.703094858506878,9.664915966386555,0.5761180165600028,0.5738511575914403,0.044918657759526685,0.0058280168957384835,941.0
(c) test low,"RF-DETR-Seg Large @624, seed 42",outputs/05_predictions/test_rfdetr,0,0,0,0,0,0,0,,,0,,,0,,,0,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,
(c) test normal,"RF-DETR-Seg Large @624, seed 42",outputs/05_predictions/test_rfdetr,0,0,0,0,0,0,0,,,0,,,0,,,0,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,
"[reference] YOLOv11x (previous final model), test high",YOLOv11x (previous final model),outputs/05_predictions/boundary_error.csv,29,29,29,0,0,0,29,0.7634131680388595,0.7848198721673446,29,0.2811888984906728,0.2853754003083857,29,0.8110163198154742,0.8087579714546007,29,0.22959851654874894,0.230036315357882,29,5.458826124524503,4.0324825986078885,0.3241159779912662,0.23942730751373864,29,0.7876084683919646,0.7447306791569087,0.04676398976333049,0.04421813534793013,29,12.719360789270844,12.12262156448203,0.7552077988190881,0.7197766066477082,29,10.04672875716718,10.978174603174605,0.596521164525251,0.6518254505453329,29,12.47941794826647,12.32508073196986,0.7409612727711624,0.7317975520994799,0.033447077035062674,0.018765317315802554,941.0
"[reference] YOLOv11x (previous final model), test all",YOLOv11x (previous final model),outputs/05_predictions/boundary_error.csv,192,161,152,9,6,25,167,0.5075494462889589,0.5484873692045007,167,0.274948538085851,0.2886046511627907,190,0.7855372942288855,0.8160770057949238,190,0.22103060774384517,0.2220440234997062,152,5.0680043096614185,3.698883283887066,0.3009110632614159,0.21961995961852174,152,0.2726270468066437,-0.5314111579934364,0.016187139851482804,-0.03155236002383516,152,11.15407692175253,10.110105580693816,0.6622695919626017,0.6002841422553952,152,9.707042849889088,9.288041638456331,0.5763524272297615,0.5514743702400121,152,12.041576674710477,10.641917730779461,0.7149645933850969,0.6318603110507809,0.1662224343612395,0.14835944181091895,279.5
"[reference] YOLOv11x (previous final model), OOF 145 reference high",YOLOv11x (previous final model),outputs/06_prediction/boundary_error_oof.csv,145,145,144,1,0,0,145,0.7582837763757686,0.7742502420090037,145,0.27017757973373996,0.2735683592037183,145,0.7939310169119447,0.8142668714071974,145,0.2223058658314265,0.2286480711086862,144,5.417714237566381,4.302180877410413,0.3216749734337783,0.2554405527431341,144,2.699996454674837,1.9470583580613252,0.1603113877447624,0.11560593972648023,144,12.841287224415005,12.272542323728809,0.7624471401844775,0.7286781016570762,144,11.135387157351666,11.23549158387308,0.6611598934433546,0.6671035603349372,144,12.18957817707559,11.75945692833354,0.7237521331581143,0.6982138276670233,0.04152231294405414,0.014511039059396828,935.0
