subset,correction,n,mae,rmse,r,icc2_1,icc2_1_ci_low,icc2_1_ci_high,ba_bias,ba_bias_ci_low,ba_bias_ci_high,ba_loa_low,ba_loa_high,ba_prop_slope,ba_prop_p,threshold_agreement,threshold_kappa_linear,threshold_kappa_linear_ci_low,threshold_kappa_linear_ci_high,within_0_5_mm,within_1_mm
dev,none,87,0.5489299226295782,0.7648759993488874,0.893263610104063,0.8779065921809573,0.8045655762306492,0.9225665350169523,0.25355485395629357,0.09886371700155328,0.40824599091103386,-1.169033085505443,1.67614279341803,-0.10681758132893664,0.04059033945580769,0.7471264367816092,0.7080536912751678,0.5844457631435888,0.8060254672218456,0.5977011494252874,0.8620689655172413
dev,constant,87,0.4623540796245164,0.721626794413263,0.8932636101040629,0.8898456118995437,0.8361532449310106,0.9266371645192379,5.3596973602593766e-17,-0.15469113695474024,0.15469113695474035,-1.4225879394617365,1.4225879394617365,-0.10681758132893665,0.04059033945580769,0.7931034482758621,0.7318361955085865,0.5894039495818314,0.8406862453303999,0.6781609195402298,0.8850574712643678
dev,pixel,87,0.46118523960817104,0.7230935314257914,0.8929607596615082,0.8887587562871803,0.8346538724789455,0.925877420321563,-0.030806573330601338,-0.18567138827052124,0.12405824160931857,-1.454991709709565,1.3933785630483624,-0.11382812503831982,0.0295480417732846,0.8045977011494253,0.7438916691198116,0.6058402706620142,0.8523776518804242,0.6896551724137931,0.9080459770114943
dev,regression,87,0.46338254463312567,0.7214310510782688,0.893263610104063,0.8887515685293591,0.8345720394973353,0.9258943790466289,7.27387498892344e-16,-0.1546491765407472,0.15464917654074864,-1.4222020584083315,1.4222020584083328,-0.11908923719502897,0.022746078377494757,0.7931034482758621,0.7318361955085865,0.5894039495818314,0.8406862453303999,0.6666666666666666,0.896551724137931
holdout,none,58,0.47905229478306904,0.6754626668028944,0.8963168773681068,0.8760880104405065,0.7567484646160461,0.9328348648299107,0.2938904461999331,0.13258204556469813,0.4551988468351681,-0.9085456908486905,1.4963265832485568,0.044583709097564574,0.47834589638423863,0.7758620689655172,0.7332457293035479,0.606830417522325,0.8471694816453871,0.6379310344827587,0.8793103448275862
holdout,constant,58,0.41615609590557223,0.6095122475213498,0.896316877368107,0.8967267399953969,0.831631724326372,0.9375316859571454,0.040335592243639536,-0.12097280839159544,0.2016439928788745,-1.1621005448049841,1.242771729292263,0.044583709097564594,0.4783458963842385,0.8103448275862069,0.7810569663692519,0.6627797918108247,0.8838567114308439,0.7413793103448276,0.9137931034482759
holdout,pixel,58,0.41150339694748694,0.6025753201183485,0.8952018055010165,0.8965196190522788,0.8311770815087827,0.9374333644583893,0.024486429988328767,-0.1352044346793632,0.1841772946560207,-1.1658921595755376,1.214865019552195,0.01941395203463101,0.7585171795632606,0.7931034482758621,0.76,0.6374820781147,0.8647702902776163,0.7586206896551724,0.9137931034482759
holdout,regression,58,0.4116171961528615,0.6048023084470212,0.896316877368107,0.8970835744753344,0.8322029713808415,0.9377499880765031,0.040980956536347014,-0.11906391355341944,0.20102582662611346,-1.1520364845103759,1.23399839758307,0.032295489583280934,0.6072547818112983,0.8103448275862069,0.7810569663692519,0.6627797918108247,0.8838567114308439,0.7413793103448276,0.9137931034482759
