tooth_index,n,mae,bias,r
1,145,0.7523762203151707,0.2832942111140074,0.8518129816235773
2,145,0.67352047163589,0.36485621203424656,0.8959997146701706
3,145,0.45647753369347027,0.13710135273521326,0.922716624147077
4,145,0.546890503127564,0.11574056536759494,0.8486187818099119
5,145,0.7435104428308063,0.2300081095719412,0.7938211365653095
6,145,0.8171183309637958,0.4913416222706891,0.8096450145925139
