subset,n,mae,rmse,r,r_p,icc2_1,icc2_1_ci_low,icc2_1_ci_high,icc3_1,ba_bias,ba_bias_ci_low,ba_bias_ci_high,ba_sd,ba_loa_low,ba_loa_high,ba_prop_slope,ba_prop_p,threshold_agreement,threshold_kappa_linear
holdout: all,58,0.4792766070074281,0.675718899158826,0.8963168773681071,1.9631922933371447e-21,0.8760217646225069,0.7564031779292154,0.9328322519933969,0.8955107287628418,0.29434784100776074,0.13302261619474953,0.45567306582077194,0.6135518107080776,-0.9082137079800714,1.4969093899955928,0.044740191613284165,0.47680856822317785,0.7758620689655172,0.7332457293035479
holdout: without dash-zero rows,45,0.4386677532963879,0.5662773884986121,0.9145300342723982,1.6517406314476508e-18,0.8999971902969855,0.8018046752512954,0.9475835900750911,0.9131461351097502,0.22863474391093877,0.07123060858688501,0.3860388792349925,0.5239238007805628,-0.7982559056189643,1.255525393440842,0.057489128623824846,0.37692964409515906,0.7777777777777778,0.7727272727272727
holdout: only 2698x1799 (+/-2 px) frames,48,0.44787874841726527,0.5876764528029798,0.9230863702048342,1.0267144102725075e-20,0.9063378774299496,0.811262534013347,0.9509262758303184,0.919951029254882,0.2462161038679759,0.08963180150763558,0.40280040622831625,0.5392583496825043,-0.8107302615097326,1.3031624692456845,0.08578413313820611,0.1518511456034188,0.7708333333333334,0.7134328358208955
holdout: frames outside 2698x1799,10,0.6299863282402101,0.9952445100008163,0.7848913439413868,0.007159296519579749,0.7125439351109646,0.2141381322357209,0.9190947786936517,0.7556667526372671,0.525380179278728,-0.11200032698609619,1.1627606855435522,0.8909965094755277,-1.2209729792933062,2.2717333378507623,-0.3079581023429133,0.2358378000250576,0.8,0.803921568627451
holdout: without ambiguous 100-999 cells,58,0.4792766070074281,0.675718899158826,0.8963168773681071,1.9631922933371447e-21,0.8760217646225069,0.7564031779292154,0.9328322519933969,0.8955107287628418,0.29434784100776074,0.13302261619474953,0.45567306582077194,0.6135518107080776,-0.9082137079800714,1.4969093899955928,0.044740191613284165,0.47680856822317785,0.7758620689655172,0.7332457293035479
dev + holdout (scale still from dev),145,0.5209658056949302,0.7306097449854275,0.8922613094907039,3.097293878629364e-51,0.8765953863885619,0.804445951775606,0.9189678072612514,0.8909961873335164,0.27039034551561536,0.15859297590116267,0.38218771513006805,0.6810865031908807,-1.0645392007385108,1.6053198917697415,-0.05630157463273697,0.16016597848734898,0.7586206896551724,0.7178988326848249
