model,rfdetr-seg-large,rfdetr-seg-large@432,yolo11x-seg,yolo11x-seg@1024,yolo26x-seg
rfdetr-seg-large,1.0,0.9745448822225738,0.9468230465747745,0.9622717992977683,0.9703495304284914
rfdetr-seg-large@432,0.9745448822225738,1.0,0.9718121343210577,0.9739037687825534,0.9786861758726197
yolo11x-seg,0.9468230465747745,0.9718121343210577,1.0,0.9871060837583094,0.9866202260360085
yolo11x-seg@1024,0.9622717992977683,0.9739037687825534,0.9871060837583094,1.0,0.9824386095828408
yolo26x-seg,0.9703495304284914,0.9786861758726197,0.9866202260360085,0.9824386095828408,1.0
