n,mae_a,mae_b,diff_mae_mm,ci_low,ci_high,sd_paired_mm,excludes_zero,model_a,model_b
29,0.9546312747249419,0.6703551558662331,0.28427611885870874,0.1672038083411259,0.3964282657806601,0.32061794972413826,True,yolo11x-seg,rfdetr-seg-large@432
29,0.9050643009433839,0.661490814830163,0.24357348611322108,0.12151880544905645,0.3669750940838219,0.34027152029621266,True,yolo11x-seg@1024,rfdetr-seg-large
