model,n,mae_mm,bias_mm,sd_of_error_mm,mae_without_own_bias_mm,removable_by_calibration_mm,within_0_5_mm,within_1_mm
rfdetr-seg-large,29,0.6622578025968873,0.2726157269936166,0.915469437369758,0.5174966785800881,0.1447611240167992,0.41379310344827586,0.8620689655172413
rfdetr-seg-large@432,29,0.6707445935834395,0.29886618326238146,0.9047195547381435,0.5104636256586261,0.1602809679248134,0.4482758620689655,0.8275862068965517
yolo11x-seg,29,0.9554610808061964,0.6679936717914156,0.8942057938475902,0.5021035650288532,0.4533575157773432,0.13793103448275862,0.6551724137931034
yolo11x-seg@1024,29,0.9048919476614481,0.6129615668292707,0.8924295912531715,0.5232067688438967,0.3816851788175514,0.20689655172413793,0.5862068965517241
yolo26x-seg,29,1.001477590278419,0.7149771536505699,0.888246357811288,0.48716040466528876,0.5143171856131302,0.06896551724137931,0.5517241379310345
