configuration,grid,horizontal_mm,vertical_mm
yolo11x-seg @ 640,160,1.001353943360036,1.001353943360036
yolo11x-seg@1024,256,0.6258462146000225,0.6258462146000225
rfdetr-seg-large @ 624,156,1.027029685497473,0.6848133447775959
rfdetr-seg-large@432,108,1.48348732349635,0.9891748313454164
