model,seed,settings,conf,max_det,imgsz,class,box_precision,box_recall,box_f1,box_map50,box_map50_95,seg_precision,seg_recall,seg_f1,seg_map50,seg_map50_95
yolo11x-seg@1024,42,standard,0.001,300,1024.0,diseti,0.6888869238795701,0.6673134864127461,0.6779286179675218,0.6622569937730283,0.2972234450500377,0.6717274937379363,0.636986301369863,0.6538957766993373,0.6349604124316175,0.2690928884349486
yolo11x-seg@1024,42,standard,0.001,300,1024.0,dudak,0.9603387049999502,0.9947368421052633,0.977235168408251,0.9899513473053893,0.7270629038202802,0.9608017594572142,0.9947368421052633,0.9774748576458768,0.9903898553699054,0.692047369112632
yolo11x-seg@1024,42,standard,0.001,300,1024.0,all,0.8246128144397602,0.8310251642590046,,0.8261041705392087,0.5121431744351589,0.8162646265975753,0.815861571737563,,0.8126751339007614,0.4805701287737903
yolo11x-seg@1024,42,operating_point,0.25,20,1024.0,diseti,0.6767169179229481,0.6917808219178082,0.6841659610499577,0.5784394581560337,0.2667243675266658,0.660123313599691,0.6485236923916892,0.6542720944754578,0.5599925037393231,0.2352493236795743
yolo11x-seg@1024,42,operating_point,0.25,20,1024.0,dudak,0.9895287958115184,0.9947368421052633,0.9921259842519684,0.9905886935926204,0.7210400360181692,0.9895287958115184,0.9947368421052633,0.9921259842519684,0.9913345125229944,0.6916631501538493
yolo11x-seg@1024,42,operating_point,0.25,20,1024.0,all,0.8331228568672332,0.8432588320115357,,0.784514075874327,0.4938822017724175,0.8248260547056047,0.8216302672484761,,0.7756635081311587,0.4634562369167119
yolo11x-seg@1024,43,standard,0.001,300,1024.0,diseti,0.6910134946880127,0.666095890410959,0.6783259390644222,0.6712235798157644,0.2944465604854948,0.7287857815649458,0.5958904109589042,0.6556718711013187,0.6497282313605302,0.2673873082645285
yolo11x-seg@1024,43,standard,0.001,300,1024.0,dudak,0.9298738918186634,0.9894736842105264,0.9587484383547636,0.9887976186147628,0.7202518431523791,0.9384328120809302,0.9842105263157894,0.9607766905539288,0.9793972228487074,0.6841392972660447
yolo11x-seg@1024,43,standard,0.001,300,1024.0,all,0.8104436932533381,0.8277847873107427,,0.8300105992152635,0.5073492018189368,0.833609296822938,0.7900504686373468,,0.8145627271046187,0.4757633027652866
yolo11x-seg@1024,43,operating_point,0.25,20,1024.0,diseti,0.6977152899824253,0.6797945205479452,0.6886383347788377,0.5715458324054463,0.2567470516204452,0.7083709167614678,0.6284246575342466,0.6660072180558726,0.5644244642111806,0.234062516897698
yolo11x-seg@1024,43,operating_point,0.25,20,1024.0,dudak,0.9740932642487048,0.9894736842105264,0.9817232375979114,0.9802659574468088,0.7159586702575221,0.9740204204072668,0.9842105263157894,0.9790889600795782,0.9799559320679416,0.6843601152091154
yolo11x-seg@1024,43,operating_point,0.25,20,1024.0,all,0.8359042771155649,0.8346341023792357,,0.7759058949261275,0.4863528609389836,0.8411956685843673,0.8063175919250181,,0.7721901981395611,0.4592113160534066
yolo11x-seg@1024,44,standard,0.001,300,1024.0,diseti,0.6486401580258594,0.7071917808219178,0.6766516930656531,0.6587329897508512,0.2882166660545819,0.6423162248736536,0.666095890410959,0.6539899665168648,0.6448916991161264,0.2659822491729394
yolo11x-seg@1024,44,standard,0.001,300,1024.0,dudak,0.9655997344146908,0.9947368421052633,0.9799517511982448,0.9909476385799032,0.7232421378937407,0.95615734737475,0.9842105263157894,0.969981145184119,0.9809963974451515,0.6863995625353446
yolo11x-seg@1024,44,standard,0.001,300,1024.0,all,0.8071199462202752,0.8509643114635905,,0.8248403141653773,0.5057294019741614,0.7992367861242018,0.8251532083633741,,0.8129440482806389,0.4761909058541421
