model,n_seeds,mae_mm_mean,mae_mm_sd,bias_mm_mean,bias_mm_sd,rmse_mm_mean,rmse_mm_sd
rfdetr-seg-large,3,0.6644429053656888,0.01143472015072288,0.27261572699361664,0.015512804475161169,0.9425896143669728,0.017382727737516625
yolo11x-seg,3,0.9571952212361149,0.08858559888078121,0.6679936717914154,0.08518089476442553,1.116025218559497,0.07304020967463515
yolo26x-seg,3,1.001477590278419,0.015871328714642387,0.7149771536505698,0.018138376082784815,1.13373253202463,0.01739139841976318
