model,seed,settings,conf,max_det,class,box_precision,box_recall,box_f1,box_map50,box_map50_95,seg_precision,seg_recall,seg_f1,seg_map50,seg_map50_95
yolo11x-seg,44,standard,0.001,300,diseti,0.6526547815290805,0.6177474670951145,0.634721543690168,0.6021779003196054,0.26626789682536756,0.5750016423684166,0.4794520547945205,0.5228977235994492,0.4794187972338071,0.18466193685799648
yolo11x-seg,44,standard,0.001,300,dudak,0.9672806976140177,0.9947368421052631,0.9808166615183378,0.9914271219014296,0.729739318867912,0.9587883206669771,0.9842105263157894,0.9713331113648851,0.979563488229915,0.6948914044156821
yolo11x-seg,44,standard,0.001,300,all,0.8099677395715491,0.8062421546001888,,0.7968025111105175,0.4980036078466399,0.7668949815176969,0.731831290555155,,0.7294911427318611,0.43977667063683923
yolo11x-seg,44,operating_point,0.25,20,diseti,0.6494845360824743,0.6472602739726028,0.6483704974271012,0.5317989899308158,0.24055233452221833,0.5756732505380637,0.4794520547945205,0.5231752503058688,0.3951312660958418,0.15482277569220715
yolo11x-seg,44,operating_point,0.25,20,dudak,0.9692307692307692,0.9947368421052631,0.9818181818181819,0.9914271219014296,0.7266291493763867,0.958974358974359,0.9842105263157894,0.9714285714285715,0.979563488229915,0.6948914044156821
yolo11x-seg,44,operating_point,0.25,20,all,0.8093576526566217,0.820998558038933,,0.7616130559161227,0.4835907419493025,0.7673238047562114,0.731831290555155,,0.6873473771628784,0.42485709005394456
