scale,subset,scoring,n_consensus_pending_excluded,n_model_unclassified,n,kappa_linear,kappa_linear_ci_low,kappa_linear_ci_high,kappa_unweighted,kappa_unweighted_ci_low,kappa_unweighted_ci_high,observed_agreement,observed_agreement_ci_low,observed_agreement_ci_high,pabak,pabak_ci_low,pabak_ci_high
global,"all 145 images, OOF (primary)",strict,12,0,133,0.5493707647628268,0.3881237319349502,0.6876224027092329,0.49874371859296485,0.33221771245168225,0.6434542188882577,0.7969924812030075,0.7293233082706767,0.8646616541353384,0.7293233082706766,0.6390977443609023,0.8195488721804511
global,"all 145 images, OOF (primary)",lenient,12,0,133,0.7173061863743149,0.5667601036395263,0.8316146316929743,0.6850828729281768,0.5352697044253959,0.809117941574372,0.8646616541353384,0.8045112781954887,0.9172932330827067,0.8195488721804511,0.7393483709273183,0.8897243107769423
global,"all 145 images, OOF (primary)",lenient2,12,0,133,0.7173061863743149,0.5667601036395263,0.8316146316929743,0.6850828729281768,0.5352697044253959,0.809117941574372,0.8646616541353384,0.8045112781954887,0.9172932330827067,0.8195488721804511,0.7393483709273183,0.8897243107769423
global,fixed test subset (secondary),strict,2,0,27,0.47058823529411764,-0.14545454545454528,0.8363636363636364,0.3571428571428571,-0.14545454545454528,0.7692307692307692,0.8148148148148148,0.6666666666666666,0.9629629629629629,0.7530864197530863,0.5555555555555555,0.9506172839506172
global,fixed test subset (secondary),lenient,2,0,27,0.7235494880546075,0.27586206896551724,1.0,0.6759999999999999,0.23728813559322037,1.0,0.8888888888888888,0.7407407407407407,1.0,0.8518518518518517,0.6543209876543209,1.0
global,fixed test subset (secondary),lenient2,2,0,27,0.7235494880546075,0.27586206896551724,1.0,0.6759999999999999,0.23728813559322037,1.0,0.8888888888888888,0.7407407407407407,1.0,0.8518518518518517,0.6543209876543209,1.0
global_corrected,"all 145 images, OOF (primary)",strict,12,0,133,0.5493707647628268,0.3881237319349502,0.6876224027092329,0.49874371859296485,0.33221771245168225,0.6434542188882577,0.7969924812030075,0.7293233082706767,0.8646616541353384,0.7293233082706766,0.6390977443609023,0.8195488721804511
global_corrected,"all 145 images, OOF (primary)",lenient,12,0,133,0.7173061863743149,0.5667601036395263,0.8316146316929743,0.6850828729281768,0.5352697044253959,0.809117941574372,0.8646616541353384,0.8045112781954887,0.9172932330827067,0.8195488721804511,0.7393483709273183,0.8897243107769423
global_corrected,"all 145 images, OOF (primary)",lenient2,12,0,133,0.7173061863743149,0.5667601036395263,0.8316146316929743,0.6850828729281768,0.5352697044253959,0.809117941574372,0.8646616541353384,0.8045112781954887,0.9172932330827067,0.8195488721804511,0.7393483709273183,0.8897243107769423
global_corrected,fixed test subset (secondary),strict,2,0,27,0.47058823529411764,-0.14545454545454528,0.8363636363636364,0.3571428571428571,-0.14545454545454528,0.7692307692307692,0.8148148148148148,0.6666666666666666,0.9629629629629629,0.7530864197530863,0.5555555555555555,0.9506172839506172
global_corrected,fixed test subset (secondary),lenient,2,0,27,0.7235494880546075,0.27586206896551724,1.0,0.6759999999999999,0.23728813559322037,1.0,0.8888888888888888,0.7407407407407407,1.0,0.8518518518518517,0.6543209876543209,1.0
global_corrected,fixed test subset (secondary),lenient2,2,0,27,0.7235494880546075,0.27586206896551724,1.0,0.6759999999999999,0.23728813559322037,1.0,0.8888888888888888,0.7407407407407407,1.0,0.8518518518518517,0.6543209876543209,1.0
