frame,n,mae_global_scale,mae_expert_scale,mean_expert_px_per_mm
inside 2698x1799,123,0.530701046124499,0.5433106430015381,16.841449864498642
outside 2698x1799,22,0.6034372597439766,0.6699011317900837,17.129242424242427
